# x	y	u	v	flags	mask
3.2000e+01	1.8800e+03	-1.0343e-01	7.4199e-02	0.0000e+00	0.0000e+00
8.8000e+01	1.8800e+03	-2.7335e+00	2.0259e-01	0.0000e+00	0.0000e+00
1.4400e+02	1.8800e+03	-2.1793e+01	-5.2093e+00	0.0000e+00	0.0000e+00
2.0000e+02	1.8800e+03	1.3631e+00	-1.5527e+01	0.0000e+00	0.0000e+00
2.5600e+02	1.8800e+03	-7.9893e-01	-7.2454e+00	0.0000e+00	0.0000e+00
3.1200e+02	1.8800e+03	-2.9965e+00	-1.5605e+01	0.0000e+00	0.0000e+00
3.6800e+02	1.8800e+03	1.2714e+01	-4.8158e+00	0.0000e+00	0.0000e+00
4.2400e+02	1.8800e+03	1.5731e+01	-6.2629e+00	0.0000e+00	0.0000e+00
4.8000e+02	1.8800e+03	2.2272e+01	-1.5773e+01	0.0000e+00	0.0000e+00
5.3600e+02	1.8800e+03	-3.0789e+01	-2.7274e+01	0.0000e+00	0.0000e+00
5.9200e+02	1.8800e+03	-1.5669e+01	-1.1137e+01	0.0000e+00	0.0000e+00
6.4800e+02	1.8800e+03	7.1848e-01	-2.8328e+00	0.0000e+00	0.0000e+00
7.0400e+02	1.8800e+03	-1.5829e+01	-1.5465e+01	0.0000e+00	0.0000e+00
7.6000e+02	1.8800e+03	2.3385e+01	2.6309e+00	0.0000e+00	0.0000e+00
8.1600e+02	1.8800e+03	8.2076e-01	-2.0562e+00	0.0000e+00	0.0000e+00
8.7200e+02	1.8800e+03	9.9372e+00	-1.4993e+01	0.0000e+00	0.0000e+00
9.2800e+02	1.8800e+03	2.1892e-01	-1.1784e-01	0.0000e+00	0.0000e+00
9.8400e+02	1.8800e+03	2.7104e+01	1.1467e+01	0.0000e+00	0.0000e+00
1.0400e+03	1.8800e+03	-1.2165e+01	-1.5695e+01	0.0000e+00	0.0000e+00
3.2000e+01	1.8240e+03	-1.5952e+01	7.7302e+00	0.0000e+00	0.0000e+00
8.8000e+01	1.8240e+03	-4.0028e-02	2.0254e-01	0.0000e+00	0.0000e+00
